 Adjectives;Category
diagonal;DIRECTION
downward;DIRECTION
exponential;DIRECTION
horizontal;DIRECTION
inverse;DIRECTION
negative;DIRECTION
positive;DIRECTION
steep;DIRECTION
straight;DIRECTION
upward;DIRECTION
independent;DISCERNIBILITY
clear;DISCERNIBILITY
definite;DISCERNIBILITY
definitive;DISCERNIBILITY
diffuse;DISCERNIBILITY
discernible;DISCERNIBILITY
distinct;DISCERNIBILITY
distinctive;DISCERNIBILITY
general;DISCERNIBILITY
identifiable;DISCERNIBILITY
noticeable;DISCERNIBILITY
obvious;DISCERNIBILITY
particular;DISCERNIBILITY
possible;DISCERNIBILITY
present;DISCERNIBILITY
readable;DISCERNIBILITY
real;DISCERNIBILITY
unconnected;DISCERNIBILITY
unrelated;DISCERNIBILITY
vague;DISCERNIBILITY
big;MAGNITUDE
broad;MAGNITUDE
concentrated;MAGNITUDE
condensed;MAGNITUDE
few;MAGNITUDE
heavy;MAGNITUDE
large;MAGNITUDE
less;MAGNITUDE
little;MAGNITUDE
many;MAGNITUDE
minimal;MAGNITUDE
moderate;MAGNITUDE
much;MAGNITUDE
packed;MAGNITUDE
rapid;MAGNITUDE
several;MAGNITUDE
slight;MAGNITUDE
small;MAGNITUDE
strong;MAGNITUDE
vast;MAGNITUDE
weak;MAGNITUDE
weighted;MAGNITUDE
widespread;POSITION
corresponding;NONE
current;NONE
datapoints;NONE
dependent;NONE
statistical;NONE
active;NONE
applicable;NONE
available;NONE
average;NONE
best;NONE
blank;NONE
blue;NONE
casual;NONE
causal;NONE
certain;NONE
common;NONE
diverse;NONE
exact;NONE
explosive;NONE
fixed;NONE
full;NONE
good;NONE
great;NONE
identical;NONE
main;NONE
meaningful;NONE
mixed;NONE
new;NONE
numerical;NONE
one-to-one;NONE
only;NONE
opposing;NONE
other;NONE
outlying;NONE
overall;NONE
poor;NONE
popular;NONE
predictable;NONE
previous;NONE
prolonged;NONE
reliable;NONE
significant;NONE
specific;NONE
suburban;NONE
true;NONE
un;NONE
varied;NONE
white;NONE
wild;NONE
close;POSITION
bottom;POSITION
central;POSITION
evenly-spaced;POSITION
extreme;POSITION
furthest;POSITION
high;POSITION
left;POSITION
low;POSITION
median;POSITION
medium-high;POSITION
mid;POSITION
middle;POSITION
opposite;POSITION
outside;POSITION
random;POSITION
randomish;POSITION
right;POSITION
scattered;POSITION
semi-random;POSITION
top;POSITION
upper;POSITION
verywide;POSITION
whole;POSITION
wide;POSITION
cohesive;REGULARITY
consistent;REGULARITY
constant;REGULARITY
different;REGULARITY
direct;REGULARITY
equal;REGULARITY
inconsistent;REGULARITY
inversely-proportional;REGULARITY
linear;REGULARITY
loose;REGULARITY
proportional;REGULARITY
regular;REGULARITY
same;REGULARITY
similar;REGULARITY
steady;REGULARITY
symmetrical;REGULARITY
tight;REGULARITY
uneven;REGULARITY