Verbs;Category
increase;BEHAVIOUR
decrease;BEHAVIOUR
decreasing;DIRECTION
drop;BEHAVIOUR
rise;BEHAVIOUR
sloping;BEHAVIOUR
upwards;BEHAVIOUR
grow;BEHAVIOUR
increasing;DIRECTION
reduce;BEHAVIOUR
indicate;INFERENCES
approximate;INFERENCES
be;NONE
appear;NONE
do;NONE
seem;NONE
look;NONE
have;NONE
show;NONE
showing;NONE
being;NONE
conform;NONE
congest;NONE
define;NONE
feel;NONE
focus;NONE
form;NONE
get;NONE
isn;NONE
isnt;NONE
lead;NONE
light;NONE
lose;NONE
make;NONE
mean;NONE
s;NONE
see;NONE
spead;NONE
suggesting;INFERENCES
surpassing;INFERENCES
tend;INFERENCES
vary;NONE
correlate;RELATION
link;RELATION
associate;RELATION
connect;RELATION
match;RELATION
relate;RELATION
scatter;SPACE
distribute;SPACE
spread;SPACE
place;SPACE
centralize;POSITION
gather;SPACE
group;SPACE
scattering;SPACE
situate;SPACE
space;SPACE